,x,uk,mk,p
180,34,0.338,576.04,0.5
181,35,0.297,508.336,0.5
182,36,0.265,481.93,0.5
183,37,0.255,488.482,0.5
184,38,0.256,458.396,0.5
185,39,0.212,411.71,0.5
186,40,0.198,388.496,0.5
187,41,0.187,350.838,0.5
188,42,0.15,341.16,0.5
189,43,0.127,295.276,0.5
190,44,0.104,242.294,0.5
191,45,0.087,211.776,0.5
192,46,0.072,172.668,0.5
193,47,0.06,135.942,0.5
194,48,0.039,101.554,0.5
195,49,0.025,51.198,0.5
196,1,0.818,81.772,0.55
197,2,0.69,134.096,0.55
198,3,0.531,200.46,0.55
199,4,0.45,235.148,0.55
200,5,0.352,271.136,0.55
201,6,0.296,285.57,0.55
202,7,0.235,315.432,0.55
203,8,0.194,323.092,0.55
204,9,0.162,328.992,0.55
205,10,0.143,333.42,0.55
206,11,0.133,334.726,0.55
207,12,0.087,333.212,0.55
208,13,0.067,331.138,0.55
209,14,0.057,318.644,0.55
210,15,0.046,333.01,0.55
211,16,0.04,323.29,0.55
212,17,0.025,309.088,0.55
213,18,0.034,302.348,0.55
214,19,0.025,308.308,0.55
215,20,0.011,290.67,0.55
216,21,0.014,277.128,0.55
217,22,0.006,271.75,0.55
218,23,0.008,273.232,0.55
219,24,0.013,254.48,0.55
220,25,0.006,246.722,0.55
221,26,0.006,239.174,0.55
222,27,0.005,226.776,0.55
223,28,0.004,219.234,0.55
224,29,0.004,210.104,0.55
225,30,0.002,194.47,0.55
226,31,0.003,192.49,0.55
227,32,0.0,184.222,0.55
228,33,0.0,166.784,0.55
229,34,0.002,153.736,0.55
230,35,0.003,150.566,0.55
231,36,0.002,138.824,0.55
232,37,0.001,120.752,0.55
233,38,0.0,117.82,0.55
234,39,0.0,108.324,0.55
235,40,0.0,96.438,0.55
236,41,0.0,89.702,0.55
237,42,0.0,81.384,0.55
238,43,0.0,67.568,0.55
239,44,0.0,60.87,0.55
240,45,0.0,50.43,0.55
241,46,0.0,38.882,0.55
242,47,0.0,34.716,0.55
243,48,0.0,20.036,0.55
244,49,0.0,10.306,0.55
245,1,0.681,76.022,0.6
246,2,0.464,125.566,0.6
247,3,0.293,160.612,0.6
248,4,0.195,182.596,0.6
249,5,0.141,187.56,0.6
250,6,0.108,193.768,0.6
251,7,0.063,204.292,0.6
252,8,0.049,202.562,0.6
253,9,0.028,202.68,0.6
254,10,0.018,195.31,0.6
255,11,0.01,196.508,0.6
256,12,0.008,187.344,0.6
257,13,0.004,183.442,0.6
258,14,0.003,180.454,0.6
259,15,0.001,175.714,0.6
260,16,0.001,166.24,0.6
261,17,0.001,164.286,0.6
262,18,0.001,160.284,0.6
263,19,0.0,158.36,0.6
264,20,0.001,148.568,0.6
265,21,0.0,148.284,0.6
266,22,0.0,140.24,0.6
267,23,0.0,136.674,0.6
268,24,0.0,125.648,0.6
269,25,0.0,125.68,0.6
270,26,0.0,120.774,0.6
271,27,0.0,115.498,0.6
272,28,0.0,108.748,0.6
273,29,0.0,106.25,0.6
274,30,0.0,100.562,0.6
275,31,0.0,94.89,0.6
276,32,0.0,89.45,0.6
277,33,0.0,83.068,0.6
278,34,0.0,80.444,0.6
279,35,0.0,75.952,0.6
280,36,0.0,69.774,0.6
281,37,0.0,66.926,0.6
282,38,0.0,57.478,0.6
283,39,0.0,55.768,0.6
284,40,0.0,51.222,0.6
285,41,0.0,44.526,0.6
286,42,0.0,41.342,0.6
287,43,0.0,36.032,0.6
288,44,0.0,30.376,0.6
289,45,0.0,25.118,0.6
290,46,0.0,19.458,0.6
291,47,0.0,15.278,0.6
292,48,0.0,10.506,0.6
293,49,0.0,5.378,0.6
294,1,0.119,53.594,0.9
295,2,0.013,58.97,0.9
296,3,0.001,58.468,0.9
297,4,0.0,57.358,0.9
298,5,0.0,56.29,0.9
299,6,0.0,54.906,0.9
300,7,0.0,53.676,0.9
301,8,0.0,52.368,0.9
302,9,0.0,51.376,0.9
303,10,0.0,49.936,0.9
304,11,0.0,48.72,0.9
305,12,0.0,47.508,0.9
306,13,0.0,46.218,0.9
307,14,0.0,44.88,0.9
308,15,0.0,43.67,0.9
309,16,0.0,42.616,0.9
310,17,0.0,40.952,0.9
311,18,0.0,39.836,0.9
312,19,0.0,38.454,0.9
313,20,0.0,37.326,0.9
314,21,0.0,36.116,0.9
315,22,0.0,35.076,0.9
316,23,0.0,33.886,0.9
317,24,0.0,32.496,0.9
318,25,0.0,31.378,0.9
319,26,0.0,29.904,0.9
320,27,0.0,28.636,0.9
321,28,0.0,27.462,0.9
322,29,0.0,26.122,0.9
323,30,0.0,24.954,0.9
324,31,0.0,23.692,0.9
325,32,0.0,22.464,0.9
326,33,0.0,21.362,0.9
327,34,0.0,20.066,0.9
328,35,0.0,18.814,0.9
329,36,0.0,17.656,0.9
330,37,0.0,16.258,0.9
331,38,0.0,15.084,0.9
332,39,0.0,13.742,0.9
333,40,0.0,12.33,0.9
334,41,0.0,11.178,0.9
335,42,0.0,9.964,0.9
336,43,0.0,8.756,0.9
337,44,0.0,7.526,0.9
338,45,0.0,6.188,0.9
339,46,0.0,5.044,0.9
340,47,0.0,3.84,0.9
341,48,0.0,2.466,0.9
342,49,0.0,1.29,0.9
